Link,Name,Restaurant ID,Rating,No. of Votes,Address,Cuisine,Cost for Two
https://www.zomato.com/kolkata/refinery091-sector-5-salt-lake,Refinery091 Kolkata,18948084,4.1,468,"11 & 12, EP Block, Globsyn Crystal, Sector 5, Salt Lake City, Kolkata","North Indian, Italian, Chinese","₹2,000"
https://www.zomato.com/kolkata/milkiss-sector-1-salt-lake,Milkiss Kolkata,18736357,3.8,57,"Block A, First Floor, City Center 1, Near Hangout Gate, Sector 1, Salt Lake, Kolkata","Beverages, Desserts",₹350 
https://www.zomato.com/kolkata/one-by-one-cafe-gariahat,One By One Cafe Kolkata,18637211,3.3,34,"1/1 Ramani Chatterjee Road, Gariahat, Kolkata","Cafe, Fast Food, Chinese",₹500 
https://www.zomato.com/kolkata/eat-treats-more-new-town,Eat Treats & More Kolkata,18788007,-,0,"Shop F6, 1st Floor, NBCC Shopping Centre, Block CE, Action Area 1A, Near Tank 3, New Town, Kolkata","Bakery, Desserts",₹300 
https://www.zomato.com/kolkata/don-giovannis-tangra,Don Giovanni's Kolkata,18224048,2.6,53,"23/3, Dr. Ambedkar Sarani, Brindavan Garden, Tangra, Kolkata","Pizza, North Indian, Continental","₹1,200"
https://www.zomato.com/kolkata/momore-new-market-area,Momore Kolkata,25632,3.7,138,"1 & 2, Humayun Place, Near New Empire Cinema, New Market Area, Kolkata","Tibetan, Momos",₹400 
https://www.zomato.com/kolkata/the-upvan-confectionery-southern-avenue,The Upvan Confectionery Kolkata,25151,-,0,"Menoka Hall, 5, Dr. S.N. Roy Road, Southern Avenue, Kolkata",Fast Food,₹150 
https://www.zomato.com/kolkata/ganpati-food-plaza-shibpur,Ganpati Food Plaza Howrah,17983792,2.8,105,"112, Grand Tank Road, Shibpur, Howrah","North Indian, Rajasthani",₹350 
https://www.zomato.com/kolkata/london-bubble-co-park-street-area,London Bubble Co. Kolkata,18690937,4.2,320,"5/1, Woodstreet, Kankaria Estates, Mullick Bazaar, Park Street Area, Kolkata","Desserts, Bubble Tea",₹300 
https://www.zomato.com/kolkata/bijoli-grill-bhawanipur,Bijoli Grill Kolkata,20079,3.9,420,"38, S.P. Mukherjee Road, Near Bhawanipur Police Station, Bhawanipur, Kolkata","Chinese, Seafood, Bengali",₹550 
https://www.zomato.com/kolkata/obiryani-by-oyo-bhawanipur,O'Biryani by OYO Kolkata,19029317,-,0,"1, Ashu Biswas Road, Paddapukur, Bhawanipur, Kolkata",Biryani,₹250 
